Key,Id,English(en),Russian(ru),Spanish(es)
"newGame",24924483584,"New Game","Новая Игра","Nuevo Juego"
"noteMirror",390501448380416,"Even the mirror rejects you. You would never be worthy of her.","Даже зеркало отвергает тебя. Ты бы никогда не был ее достоин.","Hasta el espejo te rechaza. Nunca serías digno de ella."
"noteCandle",566488928710656,"Only darkness will open the way forward. Remember, the light won't surrender without a fight.","Только тьма откроет путь дальше. Помни, свет не сдастся без боя.","Solo la oscuridad abrirá el camino. Recuerda, la luz no se rendirá sin luchar."
"noteCar",822206558728192,"The patient was in an accident and has been in a deep coma for several months. He believes he’s just playing a children’s game. Maybe it’s for the best.
If the patient leaves this room and keeps sinking deeper into himself, his mind will never return to its former state, and we’ll have to disconnect him from all life support.
","Пациент попал в аварию и уже несколько месяцев пребывает в глубокой коме. Он считает, что просто играет в детскую игру. Возможно, это к лучшему Если пациент покинет эту комнату и продолжит погружаться в себя, его разум уже никогда не вернётся в прежнее состояние, и нам придется отключить его ото всех аппаратов.","El paciente sufrió un accidente y lleva varios meses en coma profundo. Cree que solo está jugando a un juego de niños. Quizás sea lo mejor.
Si el paciente sale de esta habitación y sigue hundiéndose en sí mismo, su mente nunca volverá a su estado anterior y tendremos que desconectarlo de todo soporte vital."
"defeat",2252634821849088,"DEFEAT","ПОРАЖЕНИЕ","FRACASO"
"newWay",2252868314558464,"You will begin a new journey","Вы начнете новый путь","Comenzarás un nuevo viaje"
"respawnForAdd",2253045528096768,"Respawn for ad","Возродиться за просмотр рекламы","Respawn para ver anuncios"
"leaveToMenu",2253261035630592,"Leave to menu and try again","Выйти в меню и начать игру заново","Salir al menú y reiniciar el juego."
"continue",2264924883349504,"Continue","Продолжить","Continuar"
"pressToStart",2266847900430336,"Press to start","Нажмите, чтобы начать","Haga clic para comenzar"
"language",2292710654177280,"< English >","< Русский >","< Español >"
"subtitles",2297567419133952,"Subtitles","Субтитры","Subtítulos"
"sound",2297663690993664,"Audio","Звуки","Audio"
"music",2297788765138944,"Music","Музыка","Música"
"pause",2424783612243968,"Pause","Пауза","Pausa"
"skipForAd",2424995827249152,"Skip for ad","Пропустить за рекламу","Saltar para publicidad"
"noteBlack1",3076336694161408,"There hasn't been a single real person left at the very top for a long time now.","На самом верху уже давно не осталось ни одного настоящего человека.","Desde hace mucho tiempo no queda ni una sola persona real en lo más alto."
"noteBlack2",3076697270087680,"Everyone will meet them at least once. From 3 to 4 am. Ceiling, window or mirror","Каждый встретится с ними хотя бы раз. С 3 до 4 ночи. Потолок, окно или зеркало.","Todos nos encontraremos con ellos al menos una vez. De 3 a 4 am. Techo, ventana o espejo"
"noteBlack3",3081477681934336,"How did you manage to get here alone?","Как ты смог попасть сюда в одиночку?","¿Cómo lograste llegar hasta aquí sola?"